filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,Extension,from_CSD,public,State,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,
EVOTIT_SL,8.2912,6.01432,8.2912,1.23039,1203.44,978.095,0,0,0.5204,0.422954,0,Zn,Yes,Zn,SL,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EWETIL_freeONLY,4.41968,3.14099,4.36971,1.42919,0,0,449.543,314.544,0.4034,0.282258,0,Zn,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EWETOR_freeONLY,15.04309,5.72722,15.04309,1.10864,2523.05,2275.81,0,0,0.7384,0.666041,0,"Re,Zr",No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EXECAN_freeONLY,11.27641,2.51763,11.27641,0.973212,0,0,1638.53,1683.63,0.6312,0.648574,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EXOGAB_freeONLY,6.08835,2.93521,6.01903,2.43945,0,0,590.322,241.99,0.4432,0.18168,0,Cu,Yes,Cu,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EYOCUS_freeONLY,5.88745,3.94369,5.72772,1.52853,757.624,495.656,202.317,132.361,0.482,0.315336,0,Tb,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EZIMEG_freeONLY,9.90798,4.0416,9.90798,1.07192,1279,1193.19,493.885,460.749,0.5998,0.559557,0,Zn,Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EZIMIK_freeONLY,9.82604,3.91626,9.82604,1.06853,1265.94,1184.75,505.148,472.75,0.5976,0.559273,0,Zn,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
EZOFUV_freeONLY,8.33031,6.08017,8.32272,1.02014,2081.17,2040.08,0,0,0.6416,0.628934,0,Ni,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
FALRIV01_freeONLY,5.68899,4.70468,5.67497,1.06479,1159.51,1088.96,0,0,0.5166,0.485167,0,Zn,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
FALRIV_freeONLY,5.65646,4.67756,5.65646,1.06232,1172.37,1103.6,0,0,0.5212,0.490626,0,Zn,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
FALROB_freeONLY,5.75308,4.76749,5.73877,1.05859,1169.51,1104.78,0,0,0.5176,0.488953,0,Zn,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
FALSAO_freeONLY,5.59493,4.61612,5.59493,1.06274,1144.25,1076.7,0,0,0.509,0.478952,0,Co,No,,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
FASGEO_freeONLY,4.99768,3.35597,4.99362,1.72278,433.626,251.702,0,0,0.4048,0.23497,0,"Zn,Sm",Yes,Zn,freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
FASGIS_freeONLY,5.11529,3.78202,5.11153,1.92528,377.737,196.198,183.317,95.2157,0.4584,0.238095,0,"Tb,Co",Yes,"Tb,Co",freeONLY,Y,Y,DISORDER,,,,,,,,,,,,,,,,,,,
